"Name","Label","Variant Of","Weight","AES"
"ARC_Darc_P","Starbase ARC (Aftermath)","arc_standard_p",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"ARC_P","ARCtagon","",0.5,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"arc_standard_p","Starbase ARC","",0.7,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"bb_p","Champions Field (NFL)","",1,"1XCdxHYunyR2L/KPHpzib1tSgjD5QPc4xVG8LZRlLT4="
"Beach_Night_GRS_P","Salty Shores (Salty Fest)","beach_P",0.5,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"beach_night_p","Salty Shores (Night)","beach_P",2,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"beach_P","Salty Shores","",0.5,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"CHN_Stadium_Day_P","Forbidden Temple (Day)","CHN_Stadium_P",1,"1FjeqdT5bfTfkO4O2/knHf6S68xJa+CWxWgN7PS784o="
"CHN_Stadium_P","Forbidden Temple","",1.3,"FVzTEt71pU93PZGE3283wjZiyeiJhVxUNXgwW36EH7k="
"cs_day_p","Champions Field (Day)","cs_p",1.3,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"cs_hw_p","Rivals Arena","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"cs_p","Champions Field","",1.3,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"EuroStadium_Dusk_P","Mannfield (Dusk)","EuroStadium_P",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"EuroStadium_Night_P","Mannfield (Night)","EuroStadium_P",1.3,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"EuroStadium_P","Mannfield","",1.3,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"EuroStadium_Rainy_P","Mannfield (Stormy)","EuroStadium_P",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"eurostadium_snownight_p","Mannfield (Snowy)","EuroStadium_P",1.3,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Farm_GRS_P","Farmstead (Pitched)","farm_p",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Farm_HW_P","Farmstead (Spooky)","farm_p",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Farm_Night_P","Farmstead (Night)","farm_p",1,"oIraI7IXuxVZg6zGtWkAGPRfgys7pnl286/sMIyoHkI="
"farm_p","Farmstead","",0.5,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"FF_Dusk_P","Estadio Vida","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"FNI_Stadium_P","Forbidden Temple (Fire & Ice)","CHN_Stadium_P",1,"ONbgrtdar7O+TBniWgRhUU1aTgStpkIQoFx6tk7F/EY="
"Haunted_TrainStation_P","Urban Central (Haunted)","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"HoopsStadium_P","Dunk House","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"hoopsStreet_p","The Block","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"KO_Calavera_P","Calavera","",1,"4DQBgR7JWh/K1BSYdsKqJu33gz9aO0agZaN8uTjssoE="
"KO_Carbon_P","Carbon","",1,"OrAtsUZBvM1zynH53idjV7BK/izW2P8pyYP8L3UyyMs="
"KO_Quadron_P","Quadron","",1,"78Q/9SuBxcVfIVTR35C/w0gmrBD7HiS1Vhe2fVpcSSE="
"Labs_4v4_Arena15_Blackout_P","Midnight Metro (Quads)","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Labs_4v4_Arena15_EuroStadium_Night_P","Mannfield (Quads)","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Labs_4v4_Arena15_Retro_P","Sunset Dunes (Quads)","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Labs_Basin_P","Basin","",1,"V9Irfj1K3ICHvOw4M/QqLC41Z4iq1llHWZHo+iS8K/w="
"Labs_CirclePillars_P","Pillars","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Labs_Corridor_P","Corridor","",1,"IBGG8spG+gO8pRvuxpCA79BzZvPHrZiKQu+5fCAcYRA="
"Labs_Cosmic_P","Cosmic","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Labs_Cosmic_V4_P","Cosmic","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Labs_DoubleGoal_P","Double Goal","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Labs_DoubleGoal_V2_P","Double Goal","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Labs_Galleon_Mast_P","Galleon Retro","",1,"kZoaojS9xxHekYH0E2NaskAD49iC9qBxdGSre+Imyf0="
"Labs_Galleon_P","Galleon","",1,"3pWKdc/rHeV99g5Y/VDvXuAsKYu624sb3Zx0qzQUF6I="
"Labs_Holyfield_P","Loophole","",1,"52LPp8R/LKaqDu5xap6aZneuGil5duXP6omNnEMZCE8="
"Labs_Holyfield_Space_P","Force Field","",1,"ztnMCSDQ8Rngp9ulBogjPqP8RKYNNCDikONyrrlScjw="
"Labs_Octagon_02_P","Octagon","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Labs_Octagon_B2B_02_P","Roadblock","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Labs_Octagon_P","Octagon","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Labs_PillarGlass_P","Hourglass","",1,"EBppOX1eZp4rLLQOn7/iPnOUZxX9ZrD/acjiarPqYfg="
"Labs_PillarHeat_P","Barricade","",1,"d1iUi+l4BMvh173DLJigIvL0AOrRGCdY1mV6xsy4J+Q="
"Labs_PillarWings_P","Colossus","",1,"uUsq4cd4zAywYS9PcMegKgYx6fgph9oDtlqhQsKgvw8="
"Labs_Underpass_P","Underpass","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"Labs_Utopia_P","Utopia Retro","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"mall_day_p","Boostfield Mall","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"music_p","Neon Fields","",1.3,"S6yOB1m+JNkToe49WSrBqN0fFF1NxMkeqSDDW583DIk="
"NeoTokyo_Arcade_P","Neo Tokyo (Arcade)","NeoTokyo_Standard_P",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"NeoTokyo_Hax_P","Neo Tokyo (Hacked)","NeoTokyo_Standard_P",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"NeoTokyo_P","Tokyo Underpass","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"NeoTokyo_Standard_P","Neo Tokyo","",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
"NeoTokyo_Toon_p","Neo Tokyo (Comic)","NeoTokyo_Standard_P",1,"x99rEyUqzHFHu1HJitfjS3/lALd/pfqyk+LyTmsX53k="
